Station Name,City,Postal Code,Address 1,Address 2,Location,Customer Category,Customer Subcategory,Model Number,Org Name,MAC Address,System S/N,Floor Label,State,County,Country ,Activation Status,Network Status,Station Status,Port 1 Status,Port 2 Status,No. of Ports,Pricing Policy Name,Reservations,Station Message,Enabled,Station Activation Type,Usable By,Visibility (Access Policy Name),EVSE ID,Radio Group Name,Software Version,Circuit Sharing,Currency Name,Power Select,Scheduled Charging Policy Name,Warranty,Station Activation Date,Warranty Expiration Date,Warranty Service,Waitlist Policy Name,Asset Tag ID,Meter ID,Service Delivery Point ID,Point of Service ID,Account ID,Circuit ID,Panel ID,Customer Name,Customer ID,Site ID,Site mode
FLEET / FLEET,Salt Lake City,84104,1990 W 500 S,,Workplace,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:1CE5,1.45141E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,117511,SLCC,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,4/21/2015 11:55,4/21/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
FLEET / LIBRARY POOL,Salt Lake City,84111,261 E 500 S,,Public,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:559B,1.63641E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,117979,Library Pool 1,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,4/21/2015 12:31,4/21/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
FLEET / PSB-FIRE,Salt Lake City,84111,475 S 300 E,,Workplace,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:2402,1.51341E+11,2,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,121747,Fire Department,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,8/17/2015 14:01,8/17/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
UVU / PARKING SVCS 1,Orem,84058,936 S 400 W St,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0003:3521,1.65041E+11,,Utah,Utah County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,121953,Parking Services,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/16/2015 18:31,8/16/2020,Parts & Labor,,,,,,,,,Utah Valley University,0014000001a7KtG,,
FLEET / PSB-FIRE 2,Salt Lake City,84111,475 300 E,,Workplace,Municipal,Municipal Fleet,CT4020-HD,Salt Lake City Corporation,0024:B100:0002:2449,1.51441E+11,2,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,121987,Fire Department,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,8/17/2015 14:11,8/17/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
UVU / ADMIN LOT 1,Orem,84058,College Dr,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0002:4908,1.61041E+11,,Utah,Utah County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Hourly visitor parking rates apply while charging,Yes,Public,All Drivers,All Drivers,122183,Administration Lot,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/16/2015 18:34,8/16/2020,Parts & Labor,,,,,,,,,Utah Valley University,0014000001a7KtG,,
FLEET / PSB-FIRE NORTH,Salt Lake City,84111,475 300 E,,Workplace,Municipal,Municipal Workplace,CT4020-HD,Salt Lake City Corporation,0024:B100:0002:5CE6,1.64541E+11,2,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,176447,Fire Department,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,2/28/2017 12:49,2/28/2018,,,,,,,,,,Salt Lake City Corporation,0014000001h6FiF,,
FLEET / SLC FACIL SERV,Salt Lake City,84111,212 E 600 S,,Workplace,Fleet,Distributed,CPGW,Salt Lake City Corporation,0024:B100:0003:3FE6,1.90141E+11,,Utah,,United States,Activated,Reachable,Available,,,,,Disabled,,Yes,Public,All Drivers,No Drivers,1821671,SLC Facility Services,4.3.5.70,Disabled,U.S. Dollars (USD),,,Standard Warranty,7/3/2019 23:19,7/3/2020,Parts Only,,,,,,,,,,,,
FLEET / SLC FACILITIES,Salt Lake City,84111,248 East 600 South,,Workplace,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:3957,1.54641E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,144179,Facilities,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,4/21/2016 14:07,4/21/2017,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
MAVERIK / MAVERIK #390 1,Washington,84780,980 Hoodoo way,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04FC:F0A9,43176,,Utah,,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,All Drivers,158471,Store 390,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,7/14/2017 11:35,7/14/2020,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK #377 1,Santaquin,84655,725 E Main St,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04F9:54C7,43295,,Utah,Utah County,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,All Drivers,158699,725 E Main St - #337 CPE200,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,1/15/2018 12:35,1/15/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERICK #538 1,Fillmore,84631,965 UT-99,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04F8:9AC5,43208,,Utah,Millard County,United States,Activated,Reachable,Inuse,Inuse,,1,Maverik,Disabled,,Yes,Public,All Drivers,All Drivers,158787,maverick cpe200,3.7.9.4-23874e35/v1.5.80000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,7/17/2017 9:33,7/17/2020,Parts & Labor,,,,,,,,,,,,
SELECT EVR / EVR DCFC,North Logan,84341,670 E 1550 N,,,Education,University / College,CPE200T-S-CHD-CMB,SELECT (Sustainable Electrified Transportation),000D:6F00:04F9:4F75,43256,,Utah,Cache County,United States,Activated,Reachable,Available,Available,,1,,Disabled,Research Nature of this Charger,Yes,Public,All Drivers,No Drivers,164449,DCFC Group,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,12/22/2017 8:40,12/22/2018,,,,,,,,,,,,,
PUBLIC USE / 159 S. MAIN ST,Salt Lake City,84111,157 Main St,,Public,Municipal,Municipal Parking,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:52FF,1.63241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,167347,159 S. Main St.,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/20/2017 12:33,1/20/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / 255 E 500 S,Salt Lake City,84111,255 E 500 S,,Public,Parking,Commercial,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0002:A001,1.74541E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,350441,250 E 500 S,4.3.5.70,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,4/17/2019 12:59,4/17/2020,Parts Only,,,,,,,,,,,,
PUBLIC USE / 255 E 500 S #2,Salt Lake City,84111,255 E 500 S,,Public,Parking,Commercial,CT4025-HD,Salt Lake City Corporation,0024:B100:0003:6C6F,1.91541E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,220504,250 E 500 S,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,4/18/2019 10:59,4/18/2020,Parts Only,,,,,,,,,,,,
PUBLIC USE / 300 SOUTH,Salt Lake City,84111,55 East 300 South,300 South,Public,Municipal,Municipal Parking,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0003:637B,1.91241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,167437,City Only,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/20/2017 12:17,1/20/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / FAIRMONT PARK,Salt Lake City,84106,1040 E Sugarmont Dr.,Fairmont Park,Public,Parks and Recreation,,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0002:59ED,1.64041E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,182105,Fairmont Park,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/27/2017 20:00,1/27/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / FOREST DALE GOL,Salt Lake City,84106,2375 900 E,Forest Dale Golf Course,Public,Parks and Recreation,,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:5708,1.63841E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,169185,Forest Dale Golf Course,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/30/2017 19:24,1/30/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / INTL PEACE GARD,Salt Lake City,84104,1060 S 900 W,International Peace Gardens,Public,Parks and Recreation,,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:5391,1.63341E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,165165,International Peace Gardens,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/27/2017 20:17,1/27/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / LIBERTY PARK,Salt Lake City,84105,600 E. 900 South,Liberty Park,Public,Parks and Recreation,,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0003:6FF3,1.44441E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,167713,Liberty Park,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/27/2017 19:48,1/27/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / LIBERTY PARK 2,Salt Lake City,84105,600 E 900 S,Liberty Park,Public,Parks and Recreation,,CT4025-HD,Salt Lake City Corporation,0024:B100:0002:596C,1.64041E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,182073,Liberty Park,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/30/2017 19:28,1/30/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / LIBRA SQ GAR P2,Salt Lake City,84111,210 E 400 S,Library Square Garage,Public,Municipal,Municipal Parking,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:538A,1.63241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,164963,Public Stations (FREE),4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/20/2017 12:01,1/20/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / LIBRARY SQ P1,Salt Lake City,84111,210 E 400 S,Library Square Garage,Public,Municipal,Library,CT4020-HD,Salt Lake City Corporation,0024:B100:0002:56AE,1.63741E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,167543,Library Pool 1,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,1/20/2017 22:44,1/20/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / LIBRARY SQUA P1,Salt Lake City,84111,210 E 400 S,Library Square Garage (P1),Public,Municipal,Library,CT4020-HD,Salt Lake City Corporation,0024:B100:0002:56AC,1.63741E+11,P1,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,167485,Library Pool 1,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,1/20/2017 22:50,1/20/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / MTN DELL GOLF,Salt Lake City,84108,Interstate 80,,Public,Parking,Commercial,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:B661,1.80441E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,481071,Mtn. Dell Golf Course,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,4/18/2019 10:52,4/18/2020,Parts Only,,,,,,,,,,,,
PUBLIC USE / PIONEER PARK,Salt Lake City,84101,349 W 300 S,Pioneer Park,Public,Parks and Recreation,,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0002:B400,1.50241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Pioneer Park,Yes,Public,All Drivers,All Drivers,167175,Pioneer Park,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/27/2017 20:23,1/27/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / RAC PARKING,Salt Lake City,84116,2280 Rose Park Ln,,Public,"Government (Fed, State)",Civilian Workplace,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:B652,1.80441E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,RAC,Yes,Public,RAC,RAC,481121,Public Use1,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,3/28/2019 14:19,3/28/2020,Parts Only,,,,,,,,,,,,
PUBLIC USE / SORENSON MULTIC,Salt Lake City,84104,855 W California Ave,Sorenson Multicultural Center,Public,Hospitality,Museum / Tourist Attraction,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:5314,1.63341E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,165161,Sorenson Multicultural Center,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,1/27/2017 20:11,1/27/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / SUGAR HOUSE,Salt Lake City,84106,1170 E Wilmington Ave,Sugar House,Public,Retail,Shopping Center,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0002:EB54,1.83041E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,182139,Sugar House,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,2/5/2017 20:29,2/5/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
PUBLIC USE / SUNNYSIDE AVE,Salt Lake City,84108,2600 Sunnyside Ave S,,Public,Hospitality,Museum / Tourist Attraction,CT4025-HD-GW,Salt Lake City Corporation,0024:B100:0002:50D7,1.62741E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Public Stations,Yes,Public,All Drivers,All Drivers,182145,Hogle Zoo,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,2/5/2017 20:39,2/5/2018,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
MAVERIK / MAVERIK #390 2,Washington,84780,980 hoodoo way ,,,Retail,Shopping Center,CT4010-HD-GW,Maverik,0024:B100:0002:68A4,1.70341E+11,,Utah,Washington County,United States,Activated,Reachable,Available,Available,,1,Urban Level 2,Disabled,,Yes,Public,All Drivers,All Drivers,187413,Store 390 CT4k,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,7/14/2017 11:37,7/14/2020,Parts & Labor,,,,,,,,,"Maverik, Inc.",0014000001kmt4y,,
MAVERIK / MAVERK #538 2,Fillmore,84631,965 UT-99,,,Retail,Shopping Center,CT4010-HD-GW,Maverik,0024:B100:0002:64EB,1.70141E+11,,Utah,Millard County,United States,Activated,Reachable,Available,Available,,1,Maverik CT4k,Disabled,,Yes,Public,All Drivers,All Drivers,187709,Maverik CT4k,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,7/17/2017 9:34,7/17/2020,Parts & Labor,,,,,,,,,"Maverik, Inc.",0014000001kmt4y,,
RMP NTO OFFICE / NTO WEST LOT 1,Salt Lake City,84116,1407 West North Temple,,Workplace,Utility,,CT4020-HD,PacifiCorp,0024:B100:0002:67C1,1.70241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,,Yes,Public,All Drivers,All Drivers,186285,1407 W North Temple,4.3.5.93,Enabled,,40A,,Standard Warranty,5/15/2017 14:02,5/15/2018,,,,,,,,,,PacifiCorp,0014000000Otbmw,,
RMP NTO OFFICE / NTO WEST LOT 2,Salt Lake City,84116,1407 West North Temple,,Workplace,Utility,,CT4020-HD-GW,PacifiCorp,0024:B100:0002:64CD,1.65241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,183643,1407 W North Temple,4.3.5.93,Enabled,,40A,,Standard Warranty,5/15/2017 14:00,5/15/2018,,,,,,,,,,PacifiCorp,0014000000Otbmw,,
RMP NTO OFFICE / NTO WEST LOT 3,Salt Lake City,84116,1407 West North Temple,,Workplace,Utility,,CT4020-HD,PacifiCorp,0024:B100:0002:67DC,1.70241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,,Yes,Public,All Drivers,All Drivers,186415,1407 W North Temple,4.3.5.93,Enabled,,40A,,Standard Warranty,5/15/2017 14:01,5/15/2018,,,,,,,,,,PacifiCorp,0014000000Otbmw,,
RMP NTO OFFICE / NTO WEST LOT FC,Salt Lake City,84116,1407 West North Temple,,Workplace,Utility,,CPE200T-S-CHD-CMB,PacifiCorp,000D:6F00:04F8:94A3,43252,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,,1,,Disabled,,Yes,Public,All Drivers,All Drivers,153363,1407 W N Temple,3.7.9.4-23874e35/v1.5.70000000000,Disabled,,40A,,ChargePoint Assure,6/1/2017 10:13,6/1/2019,,,,,,,,,,,,,
RMP NTO OFFICE / STATION 1,Salt Lake City,84116,1407 W North Temple,,Workplace,Workplace,General,CT4020-HD-GW,PacifiCorp,0024:B100:0002:2CB5,1.53341E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,,Yes,Public,All Drivers,No Drivers,128725,1427 W North Temple,4.3.5.93,Enabled,,40A,,ChargePoint Assure,3/9/2016 9:23,7/14/2018,,,,,,,,,,PacifiCorp,0014000000Otbmw,,
