,EVSE ID,Port Number,Station Name,Start Date,End Date,Total Duration (hh:mm:ss),Energy (kWh),Port Type,Latitude,Longitude,Transit Corridor
0,182145,2,PUBLIC USE / SUNNYSIDE AVE,2017-10-09 18:16:25,2019-04-04 13:07:20,541 days 18:50:55,5003.362999999999,Level 2,40.751179,-111.814384,Urban
1,121987,2,FLEET / PSB-FIRE 2,2018-11-08 14:07:05,2019-04-04 13:21:39,146 days 23:14:34,9291.981,Level 2,40.758915,-111.882034,Urban
2,167175,1,PUBLIC USE / PIONEER PARK,2017-10-27 11:40:09,2019-04-04 12:54:43,524 days 01:14:34,20198.807,Level 2,40.762714,-111.900902,Urban
3,117511,1,FLEET / FLEET,2017-01-09 11:35:49,2019-04-04 11:48:23,815 days 00:12:34,8987.065999999999,Level 2,40.758659,-111.946701,Urban
4,158471,1B,MAVERIK / MAVERIK #390 1,2018-11-20 15:59:35,2019-04-04 08:28:23,134 days 16:28:48,3334.05,DC Fast,37.145123,-113.487,Transit
5,324731,1B,MAVERIK / MAVERIK 348 1,2018-02-23 21:20:51,2019-04-03 15:10:32,403 days 17:49:41,2077.1530000000002,DC Fast,37.730896,-113.05439799999999,Transit
6,167437,2,PUBLIC USE / 300 SOUTH,2017-10-20 20:06:52,2019-04-04 13:46:55,530 days 17:40:03,32358.453999999998,Level 2,40.762943,-111.889496,Urban
7,210191,1,PACKSIZE / CLEAN AIR 8,2017-10-07 14:47:31,2018-10-30 08:34:34,387 days 17:47:03,737.6719999999999,Level 2,40.742515999999995,-111.981026,Urban
8,486291,1,MAVERIK / MAVERIK 488 2,2018-05-08 11:39:06,2019-04-04 13:24:19,331 days 01:45:13,197.89700000000002,Level 2,40.481926,-111.89841499999999,Transit
9,328211,1A,MAVERIK / MAVERIK 488 1,2018-06-23 20:33:56,2019-04-04 13:12:47,284 days 16:38:51,1489.842,DC Fast,40.481949,-111.89838400000001,Transit
10,121747,2,FLEET / PSB-FIRE,2017-01-19 23:55:21,2019-04-04 12:56:30,804 days 13:01:09,10286.927,Level 2,40.7589,-111.882011,Urban
11,187413,1,MAVERIK / MAVERIK #390 2,2017-08-14 11:51:19,2019-04-04 07:50:02,597 days 19:58:43,255.902,Level 2,37.145119,-113.48688500000002,Transit
12,210199,2,PACKSIZE / CLEAN AIR 6,2018-11-01 04:07:01,2018-10-31 16:30:40,-1 days +12:23:39,3241.898,Level 2,40.742577000000004,-111.981323,Urban
13,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,2017-05-22 15:32:41,2018-10-15 17:49:02,511 days 02:16:21,19689.690000000002,DC Fast,40.771263,-111.93251000000001,Urban
14,210203,1,PACKSIZE / CLEAN AIR 7,2018-11-01 04:06:57,2018-10-30 16:59:51,-2 days +12:52:54,1883.696,Level 2,40.742409,-111.98151399999999,Urban
15,352031,1,SALT LAKE CITY / SLC COMPLIANCE2,2018-04-17 14:28:55,2019-04-04 07:29:35,351 days 17:00:40,12352.38,Level 2,40.756054,-111.88440700000001,Urban
16,210207,2,TEST / CLEAN AIR 9,2017-10-03 17:52:48,2018-10-31 16:40:27,392 days 22:47:39,3221.376,Level 2,40.742496,-111.98101799999999,Urban
17,167713,2,PUBLIC USE / LIBERTY PARK,2017-01-28 11:51:59,2019-04-04 14:05:19,796 days 02:13:20,14380.592999999999,Level 2,40.746788,-111.87631200000001,Urban
18,204577,2,PACKSIZE / CLEAN AIR 4,2017-10-03 17:57:05,2018-10-31 16:46:37,392 days 22:49:32,3463.9480000000003,Level 2,40.742542,-111.981163,Urban
19,210209,2,PACKSIZE / CLEAN AIR 12,2017-10-09 13:23:55,2018-10-31 16:26:48,387 days 03:02:53,3171.134,Level 2,40.742546000000004,-111.981224,Urban
20,204579,2,PACKSIZE / CLEAN AIR 5,2017-10-09 17:32:12,2018-10-30 18:08:54,386 days 00:36:42,707.229,Level 2,40.742401,-111.98159,Urban
21,210213,1,PACKSIZE / CLEAN AIR 11,2017-10-09 19:59:32,2018-10-31 16:17:25,386 days 20:17:53,2481.875,Level 2,40.742413,-111.98162099999999,Urban
22,481191,2,PUBLIC USE / 475 S 300 E,2019-04-01 17:05:24,2019-04-03 13:48:07,1 days 20:42:43,9.117,Level 2,40.758995,-111.881279,Urban
23,210215,1,PACKSIZE / CLEAN AIR 10,2017-10-04 10:54:22,2018-10-31 16:43:53,392 days 05:49:31,3030.374,Level 2,40.742569,-111.98127,Urban
24,165161,1,PUBLIC USE / SORENSON MULTIC,2017-02-01 14:47:05,2019-04-04 13:26:43,791 days 22:39:38,2975.357,Level 2,40.740749,-111.914368,Urban
25,165165,1,PUBLIC USE / INTL PEACE GARD,2017-10-08 10:49:20,2019-04-04 13:02:10,543 days 02:12:50,2879.5159999999996,Level 2,40.746857,-111.91934199999999,Urban
26,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,2017-05-15 17:01:01,2018-10-12 16:17:15,514 days 23:16:14,10196.061,Level 2,40.771259,-111.93231999999999,Urban
27,204591,2,PACKSIZE / CLEAN AIR 3,2017-10-03 17:16:28,2018-10-31 12:01:20,392 days 18:44:52,1542.3139999999999,Level 2,40.742378,-111.981407,Urban
28,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,2017-05-15 17:33:27,2018-10-13 13:58:00,515 days 20:24:33,11513.155999999999,Level 2,40.771267,-111.932449,Urban
29,210225,1,PACKSIZE / CLEAN AIR 13,2017-10-04 12:57:27,2018-10-31 16:34:37,392 days 03:37:10,4052.156,Level 2,40.742527,-111.98111000000002,Urban
30,167347,1,PUBLIC USE / 159 S. MAIN ST,2017-10-26 13:25:53,2019-04-04 12:26:27,524 days 23:00:34,30256.369,Level 2,40.76569,-111.890976,Urban
31,144179,1,FLEET / SLC FACILITIES,2017-11-09 11:22:37,2019-04-04 11:36:37,511 days 00:14:00,6847.17,Level 2,40.75592,-111.8834,Urban
32,352051,1,SALT LAKE CITY / COMPLAINCE 1,2018-03-06 12:34:29,2019-04-04 07:24:47,393 days 18:50:18,10764.134999999998,Level 2,40.755736999999996,-111.88454399999999,Urban
33,235961,1,SELECT EVR / EVR L2 B,2017-12-22 11:04:49,2019-04-04 12:00:58,468 days 00:56:09,552.814,Level 2,41.759823,-111.8172,Urban
34,182073,1,PUBLIC USE / LIBERTY PARK 2,2017-02-02 12:37:38,2019-04-04 13:49:10,791 days 01:11:32,11649.121,Level 2,40.746722999999996,-111.87631200000001,Urban
35,244281,1,MAVERIK / MAVERIK #377 2,2018-02-08 13:53:53,2019-03-24 12:41:10,408 days 22:47:17,167.83100000000002,Level 2,39.976315,-111.769043,Transit
36,187709,1,MAVERIK / MAVERK #538 2,2017-08-01 12:24:59,2019-04-04 10:20:41,610 days 21:55:42,633.419,Level 2,38.948074,-112.34643600000001,Transit
37,167485,1,PUBLIC USE / LIBRARY SQUA P1,2017-02-03 17:12:26,2019-04-03 15:03:57,788 days 21:51:31,5175.384999999999,Level 2,40.759426,-111.883629,Urban
38,494271,1,UVU / PARKING L13,2018-08-09 17:10:47,2019-04-04 12:12:35,237 days 19:01:48,3468.628,Level 2,40.280021999999995,-111.715981,Urban
39,176447,2,SALT LAKE CITY / PSB-FIRE NORTH,2017-03-01 09:56:12,2019-04-04 09:14:54,763 days 23:18:42,4508.402,Level 2,40.759009999999996,-111.88205,Urban
40,210241,1,PACKSIZE / CLEAN AIR 14,2017-10-06 17:39:56,2018-10-30 18:15:38,389 days 00:35:42,1136.6349999999998,Level 2,40.742313,-111.981071,Urban
41,546371,1,UVU / PARKING L6,2018-09-07 09:21:46,2019-04-03 19:05:46,208 days 09:44:00,4166.278,Level 2,40.282188,-111.719711,Urban
42,158787,1B,MAVERIK / MAVERICK #538 1,2018-02-26 08:40:12,2019-04-03 17:28:47,401 days 08:48:35,4855.081,DC Fast,38.948017,-112.34641299999998,Transit
43,486341,1,MAVERIK / MAVERIK 508-2,2018-07-07 13:51:54,2019-03-31 03:30:45,266 days 13:38:51,137.89300000000003,Level 2,40.647106,-112.289169,Transit
44,122183,1,UVU / ADMIN LOT 1,2017-11-06 15:45:07,2019-04-04 13:10:42,513 days 21:25:35,27911.513,Level 2,40.276249,-111.714973,Urban
45,251721,2,SELECT EVR / EVR L2 A,2017-12-21 16:27:40,2019-04-03 16:11:47,467 days 23:44:07,958.416,Level 2,41.759823,-111.81713899999998,Urban
46,212301,1,PACKSIZE / CLEAN AIR 2,2017-10-05 13:29:36,2018-10-31 17:02:02,391 days 03:32:26,811.049,Level 2,40.742352000000004,-111.98126200000002,Urban
47,244561,1,MAVERIK / MAVERIK 348 2,2018-07-03 11:39:05,2019-03-27 18:13:28,267 days 06:34:23,404.862,Level 2,37.730721,-113.053955,Transit
48,467281,1A,MAVERIK / MAVERIK 508-1,2018-05-24 08:06:43,2019-03-26 18:07:41,306 days 10:00:58,1027.192,DC Fast,40.647076,-112.289162,Transit
49,494291,1,UVU / PARKING M23,2018-08-13 11:09:43,2019-04-04 12:49:52,234 days 01:40:09,5062.454,Level 2,40.278778,-111.70941200000001,Urban
50,212307,2,PACKSIZE / CLEAN AIR 1,2017-10-04 17:03:38,2018-10-31 16:30:36,391 days 23:26:58,2954.566,Level 2,40.74242,-111.98172,Urban
51,546261,2,UVU / PARKING W2,2018-08-09 15:57:25,2019-04-04 12:26:27,237 days 20:29:02,1876.77,Level 2,40.279507,-111.72941599999999,Urban
52,128725,2,RMP NTO OFFICE / STATION 1,2017-09-26 07:24:28,2019-04-04 05:25:43,554 days 22:01:15,14949.41,Level 2,40.770634,-111.93139599999999,Urban
53,361941,1A,UVU / FAST CHARGER,2018-08-14 11:52:23,2019-03-28 09:44:01,225 days 21:51:38,4154.189,DC Fast,40.276451,-111.713104,Urban
54,182105,2,PUBLIC USE / FAIRMONT PARK,2017-11-14 06:38:50,2019-04-04 10:39:29,506 days 04:00:39,11959.097,Level 2,40.722263,-111.86178600000001,Urban
55,117979,1,FLEET / LIBRARY POOL,2017-10-25 15:19:13,2019-04-04 13:15:03,525 days 21:55:50,5667.303,Level 2,40.758465,-111.883247,Urban
56,499291,1,UVU / PARKING GARAGE,2018-08-14 07:59:14,2019-04-03 22:16:22,232 days 14:17:08,702.3700000000001,Level 2,40.279343,-111.71451599999999,Urban
57,183643,2,RMP NTO OFFICE / NTO WEST LOT 2,2017-10-11 08:12:03,2018-10-12 17:31:07,366 days 09:19:04,10002.756000000001,Level 2,40.771263,-111.932381,Urban
58,169185,1,PUBLIC USE / FOREST DALE GOL,2017-02-03 00:18:20,2019-04-04 13:09:59,790 days 12:51:39,3779.714,Level 2,40.718914,-111.864822,Urban
59,121953,2,UVU / PARKING SVCS 1,2017-12-06 06:52:22,2019-04-04 12:00:32,484 days 05:08:10,5681.757,Level 2,40.280315,-111.70542900000001,Urban
60,481121,2,PUBLIC USE / 475 S 300 E #2,2019-03-28 16:55:57,2019-04-04 11:49:49,6 days 18:53:52,27.211,Level 2,40.759048,-111.88126399999999,Urban
61,164963,2,PUBLIC USE / LIBRA SQ GAR P2,2017-01-21 14:01:00,2019-04-03 14:33:02,802 days 00:32:02,2945.039,Level 2,40.760082000000004,-111.88484199999999,Urban
62,164449,1B,SELECT EVR / EVR DCFC,2018-01-03 13:39:12,2019-04-01 13:46:29,453 days 00:07:17,2439.0910000000003,DC Fast,41.759823,-111.817268,Urban
63,158699,1B,MAVERIK / MAVERIK #377 1,2018-01-30 12:28:12,2019-04-04 01:46:43,428 days 13:18:31,1550.6309999999999,DC Fast,39.976295,-111.769028,Transit
64,486251,1,MAVERIK / MAVERIK 481 2,2018-06-21 17:20:53,2019-04-03 22:16:09,286 days 04:55:16,220.74400000000003,Level 2,41.307064000000004,-112.024803,Transit
65,362091,1A,MAVERIK / MAVERIK 533 1,2018-06-16 18:12:04,2019-03-24 20:57:03,281 days 02:44:59,1113.3529999999998,DC Fast,41.6441,-111.912994,Transit
66,85871,2,RMP NTO OFFICE / STATION 01,2015-08-12 12:48:26,2016-02-10 08:25:04,181 days 19:36:38,4859.248,Level 2,40.770626,-111.931366,Urban
67,470261,1B,MAVERIK / MAVERIK 481 1,2018-06-22 05:08:51,2019-03-04 23:26:43,255 days 18:17:52,1307.049,DC Fast,41.307026,-112.02478,Transit
68,167543,2,PUBLIC USE / LIBRARY SQ P1,2017-02-02 11:39:22,2019-04-03 15:26:09,790 days 03:46:47,2741.441,Level 2,40.759537,-111.883972,Urban
69,486521,1,MAVERIK / MAVERIK 533 2,2018-06-16 18:26:25,2019-04-03 20:56:23,291 days 02:29:58,16.423,Level 2,41.644054,-111.913025,Transit
70,182139,1,PUBLIC USE / SUGAR HOUSE,2019-01-26 12:31:03,2019-04-04 12:09:17,67 days 23:38:14,22197.394,Level 2,40.723351,-111.85875700000001,Urban
